"","site","vernacular_name","life_stage","count","water_type","tolerance","trophic_class","native","tsn","rank_name","class","superorder","order","suborder","superfamily","family","subfamily","tribe","genus","species","gradient","basin","drainage_size"
"1","BTNT","bluntnose minnow","adult",2,"warm_water","tolerant","generalist","native","163516","Species","Teleostei","Ostariophysi","Cypriniformes",NA,"Cyprinoidea","Cyprinidae",NA,NA,"Pimephales","Pimephales_notatus","moderately degraded","Chesapeake","Mid-Order"
"2","BTNT","brook stickleback","adult",1,"facultative_water","intolerant","water_column_insectivore","native","166399","Species","Teleostei","Acanthopterygii","Gasterosteiformes","Gasterosteoidei",NA,"Gasterosteidae",NA,NA,"Culaea","Culaea_inconstans","moderately degraded","Chesapeake","Mid-Order"
"3","BTNT","central stoneroller","adult",1,"facultative_water","tolerant","benthic_herbivore","native","163508","Species","Teleostei","Ostariophysi","Cypriniformes",NA,"Cyprinoidea","Cyprinidae",NA,NA,"Campostoma","Campostoma_anomalum","moderately degraded","Chesapeake","Mid-Order"
"4","BTNT","chain pickerel","adult",1,"warm_water","moderately_tolerant","top_carnivore","native","162143","Species","Teleostei","Protacanthopterygii","Esociformes",NA,NA,"Esocidae",NA,NA,"Esox","Esox_niger","moderately degraded","Chesapeake","Mid-Order"
"5","BTNT","comely shiner","adult",2,"warm_water","tolerant","water_column_insectivore","native","163401","Species","Teleostei","Ostariophysi","Cypriniformes",NA,"Cyprinoidea","Cyprinidae",NA,NA,"Notropis","Notropis_amoenus","moderately degraded","Chesapeake","Mid-Order"
"6","BTNT","cutlips minnow","adult",1,"warm_water","intolerant","benthic_insectivore","non_native","163356","Species","Teleostei","Ostariophysi","Cypriniformes",NA,"Cyprinoidea","Cyprinidae",NA,NA,"Exoglossum","Exoglossum_maxillingua","moderately degraded","Chesapeake","Mid-Order"
"7","BTNT","fallfish","adult",3,"facultative_water","moderately_tolerant","generalist","native","163375","Species","Teleostei","Ostariophysi","Cypriniformes",NA,"Cyprinoidea","Cyprinidae",NA,NA,"Semotilus","Semotilus_corporalis","moderately degraded","Chesapeake","Mid-Order"
"8","BTNT","golden shiner","adult",1,"warm_water","tolerant","generalist","native","163368","Species","Teleostei","Ostariophysi","Cypriniformes",NA,"Cyprinoidea","Cyprinidae",NA,NA,"Notemigonus","Notemigonus_crysoleucas","moderately degraded","Chesapeake","Mid-Order"
"9","BTNT","margined madtom","adult",1,"warm_water","moderately_tolerant","benthic_insectivore","native","164004","Species","Teleostei","Ostariophysi","Siluriformes",NA,NA,"Ictaluridae",NA,NA,"Noturus","Noturus_insignis","moderately degraded","Chesapeake","Mid-Order"
"10","BTNT","mottled sculpin","adult",1,"facultative_water","moderately_tolerant","benthic_insectivore","native","167237","Species","Teleostei","Acanthopterygii","Scorpaeniformes","Cottoidei","Cottoidea","Cottidae",NA,NA,"Cottus","Cottus_bairdii","moderately degraded","Chesapeake","Mid-Order"
"11","BTNT","northern hog sucker","adult",2,"warm_water","moderately_tolerant","generalist","native","163949","Species","Teleostei","Ostariophysi","Cypriniformes",NA,"Cobitoidea","Catostomidae","Catostominae","Moxostomatini","Hypentelium","Hypentelium_nigricans","moderately degraded","Chesapeake","Mid-Order"
"12","BTNT","pumpkinseed","adult",2,"warm_water","moderately_tolerant","generalist","native","168144","Species","Teleostei","Acanthopterygii","Perciformes","Percoidei",NA,"Centrarchidae",NA,NA,"Lepomis","Lepomis_gibbosus","moderately degraded","Chesapeake","Mid-Order"
"13","BTNT","redbreast sunfish","adult",2,"warm_water","moderately_tolerant","generalist","native","168131","Species","Teleostei","Acanthopterygii","Perciformes","Percoidei",NA,"Centrarchidae",NA,NA,"Lepomis","Lepomis_auritus","moderately degraded","Chesapeake","Mid-Order"
"14","BTNT","river chub","adult",2,"warm_water","moderately_tolerant","generalist","native","163392","Species","Teleostei","Ostariophysi","Cypriniformes",NA,"Cyprinoidea","Cyprinidae",NA,NA,"Nocomis","Nocomis_micropogon","moderately degraded","Chesapeake","Mid-Order"
"15","BTNT","rock bass","adult",2,"facultative_water","moderately_tolerant","top_carnivore","native","168097","Species","Teleostei","Acanthopterygii","Perciformes","Percoidei",NA,"Centrarchidae",NA,NA,"Ambloplites","Ambloplites_rupestris","moderately degraded","Chesapeake","Mid-Order"
"16","BTNT","rosyface shiner","adult",3,"warm_water","intolerant","water_column_insectivore","native","163409","Species","Teleostei","Ostariophysi","Cypriniformes",NA,"Cyprinoidea","Cyprinidae",NA,NA,"Notropis","Notropis_rubellus","moderately degraded","Chesapeake","Mid-Order"
"17","BTNT","shield darter","adult",2,"facultative_water","moderately_tolerant","benthic_insectivore","native","168474","Species","Teleostei","Acanthopterygii","Perciformes","Percoidei",NA,"Percidae",NA,NA,"Percina","Percina_peltata","moderately degraded","Chesapeake","Mid-Order"
"18","BTNT","spotfin shiner","adult",2,"warm_water","tolerant","water_column_insectivore","native","163803","Species","Teleostei","Ostariophysi","Cypriniformes",NA,"Cyprinoidea","Cyprinidae",NA,NA,"Cyprinella","Cyprinella_spiloptera","moderately degraded","Chesapeake","Mid-Order"
"19","BTNT","tessellated darter","adult",3,"facultative_water","moderately_tolerant","benthic_insectivore","native","168360","Species","Teleostei","Acanthopterygii","Perciformes","Percoidei",NA,"Percidae",NA,NA,"Etheostoma","Etheostoma_olmstedi","moderately degraded","Chesapeake","Mid-Order"
"20","BTNT","white sucker","adult",1,"facultative_water","tolerant","generalist","native","553273","Species","Teleostei","Ostariophysi","Cypriniformes",NA,"Cobitoidea","Catostomidae","Catostominae","Catostomini","Catostomus","Catostomus_commersonii","moderately degraded","Chesapeake","Mid-Order"
"21","BTNT","yellow perch","adult",2,"facultative_water","moderately_tolerant","top_carnivore","native","168469","Species","Teleostei","Acanthopterygii","Perciformes","Percoidei",NA,"Percidae",NA,NA,"Perca","Perca_flavescens","moderately degraded","Chesapeake","Mid-Order"
"22","CATA_3","banded darter","adult",20,"warm_water","intolerant","benthic_insectivore","native","168449","Species","Teleostei","Acanthopterygii","Perciformes","Percoidei",NA,"Percidae",NA,NA,"Etheostoma","Etheostoma_zonale","moderately degraded","Chesapeake","Mid-Order"
"23","CATA_3","bluntnose minnow","adult",2,"warm_water","tolerant","generalist","native","163516","Species","Teleostei","Ostariophysi","Cypriniformes",NA,"Cyprinoidea","Cyprinidae",NA,NA,"Pimephales","Pimephales_notatus","moderately degraded","Chesapeake","Mid-Order"
"24","CATA_3","central stoneroller","adult",15,"facultative_water","tolerant","benthic_herbivore","native","163508","Species","Teleostei","Ostariophysi","Cypriniformes",NA,"Cyprinoidea","Cyprinidae",NA,NA,"Campostoma","Campostoma_anomalum","moderately degraded","Chesapeake","Mid-Order"
"25","CATA_3","common shiner","adult",1,"facultative_water","moderately_tolerant","generalist","native","163836","Species","Teleostei","Ostariophysi","Cypriniformes",NA,"Cyprinoidea","Cyprinidae",NA,NA,"Luxilus","Luxilus_cornutus","moderately degraded","Chesapeake","Mid-Order"
"26","CATA_3","cutlips minnow","adult",5,"warm_water","intolerant","benthic_insectivore","non_native","163356","Species","Teleostei","Ostariophysi","Cypriniformes",NA,"Cyprinoidea","Cyprinidae",NA,NA,"Exoglossum","Exoglossum_maxillingua","moderately degraded","Chesapeake","Mid-Order"
"27","CATA_3","fallfish","adult",20,"facultative_water","moderately_tolerant","generalist","native","163375","Species","Teleostei","Ostariophysi","Cypriniformes",NA,"Cyprinoidea","Cyprinidae",NA,NA,"Semotilus","Semotilus_corporalis","moderately degraded","Chesapeake","Mid-Order"
"28","CATA_3","greenside darter","adult",2,"warm_water","intolerant","benthic_insectivore","native","168375","Species","Teleostei","Acanthopterygii","Perciformes","Percoidei",NA,"Percidae",NA,NA,"Etheostoma","Etheostoma_blennioides","moderately degraded","Chesapeake","Mid-Order"
"29","CATA_3","longnose dace","adult",1,"facultative_water","tolerant","generalist","native","163384","Species","Teleostei","Ostariophysi","Cypriniformes",NA,"Cyprinoidea","Cyprinidae",NA,NA,"Rhinichthys","Rhinichthys_cataractae","moderately degraded","Chesapeake","Mid-Order"
"30","CATA_3","margined madtom","adult",1,"warm_water","moderately_tolerant","benthic_insectivore","native","164004","Species","Teleostei","Ostariophysi","Siluriformes",NA,NA,"Ictaluridae",NA,NA,"Noturus","Noturus_insignis","moderately degraded","Chesapeake","Mid-Order"
"31","CATA_3","mottled sculpin","adult",5,"facultative_water","moderately_tolerant","benthic_insectivore","native","167237","Species","Teleostei","Acanthopterygii","Scorpaeniformes","Cottoidei","Cottoidea","Cottidae",NA,NA,"Cottus","Cottus_bairdii","moderately degraded","Chesapeake","Mid-Order"
"32","CATA_3","northern hog sucker","adult",4,"warm_water","moderately_tolerant","generalist","native","163949","Species","Teleostei","Ostariophysi","Cypriniformes",NA,"Cobitoidea","Catostomidae","Catostominae","Moxostomatini","Hypentelium","Hypentelium_nigricans","moderately degraded","Chesapeake","Mid-Order"
"33","CATA_3","pumpkinseed","adult",1,"warm_water","moderately_tolerant","generalist","native","168144","Species","Teleostei","Acanthopterygii","Perciformes","Percoidei",NA,"Centrarchidae",NA,NA,"Lepomis","Lepomis_gibbosus","moderately degraded","Chesapeake","Mid-Order"
"34","CATA_3","rock bass","adult",3,"facultative_water","moderately_tolerant","top_carnivore","native","168097","Species","Teleostei","Acanthopterygii","Perciformes","Percoidei",NA,"Centrarchidae",NA,NA,"Ambloplites","Ambloplites_rupestris","moderately degraded","Chesapeake","Mid-Order"
"35","CATA_3","rosyface shiner","adult",15,"warm_water","intolerant","water_column_insectivore","native","163409","Species","Teleostei","Ostariophysi","Cypriniformes",NA,"Cyprinoidea","Cyprinidae",NA,NA,"Notropis","Notropis_rubellus","moderately degraded","Chesapeake","Mid-Order"
"36","CATA_3","shield darter","adult",10,"facultative_water","moderately_tolerant","benthic_insectivore","native","168474","Species","Teleostei","Acanthopterygii","Perciformes","Percoidei",NA,"Percidae",NA,NA,"Percina","Percina_peltata","moderately degraded","Chesapeake","Mid-Order"
"37","CATA_3","smallmouth bass","adult",6,"facultative_water","moderately_tolerant","top_carnivore","native","550562","Species","Teleostei","Acanthopterygii","Perciformes","Percoidei",NA,"Centrarchidae",NA,NA,"Micropterus","Micropterus_dolomieu","moderately degraded","Chesapeake","Mid-Order"
